| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       1 |           pp512 |          8.08 ± 0.05 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       1 |           tg128 |          3.17 ± 0.02 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       2 |           pp512 |         16.06 ± 0.07 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       2 |           tg128 |          6.07 ± 0.02 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       3 |           pp512 |         24.08 ± 0.06 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       3 |           tg128 |          8.71 ± 0.02 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       4 |           pp512 |         32.23 ± 0.08 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       4 |           tg128 |         11.15 ± 0.03 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       6 |           pp512 |         33.46 ± 0.05 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       6 |           tg128 |         11.79 ± 0.03 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       8 |           pp512 |         36.80 ± 0.03 |
| phi3 3B Q4_K - Medium          |   2.23 GiB |     3.82 B | CPU        |       8 |           tg128 |         14.03 ± 0.02 |
